(0.0496922615216013,0.0000000000000000)
(0.0496922615080342,-0.0000016014883369)
(0.0496922611448802,-0.0000084390103648)
(0.0496922592453935,-0.0000207437617762)
(0.0496922536708488,-0.0000385245163367)
(0.0496922413250087,-0.0000617903402137)
(0.0496922181465321,-0.0000905527390146)
(0.0496921790990076,-0.0001248258651777)
(0.0496921181585945,-0.0001646265628506)
(0.0496920282992474,-0.0002099743865498)
(0.0496919014754856,-0.0002608916144757)
(0.0496917286026740,-0.0003174032610810)
(0.0496914995347658,-0.0003795370901504)
(0.0496912030394613,-0.0004473236287792)
(0.0496908267707234,-0.0005207961823615)
(0.0496903572385926,-0.0005999908505972)
(0.0496897797762326,-0.0006849465444833)
(0.0496890785041352,-0.0007757050042304)
(0.0496882362914083,-0.0008723108180326)
(0.0496872347140638,-0.0009748114416052)
(0.0496860540102168,-0.0010832572183943)
(0.0496846730321055,-0.0011977014003538)
(0.0496830691948304,-0.0013182001691723)
(0.0496812184217122,-0.0014448126578240)
(0.0496790950861602,-0.0015776009723047)
(0.0496766719499375,-0.0017166302134029)
(0.0496739200977071,-0.0018619684983444)
(0.0496708088677387,-0.0020136869821332)
(0.0496673057786506,-0.0021718598784018)
(0.0496633764520593,-0.0023365644795647)
(0.0496589845310084,-0.0025078811760599)
(0.0496540915940412,-0.0026858934744424)
(0.0496486570647868,-0.0028706880140805)
(0.0496426381169226,-0.0030623545821900)
(0.0496359895743815,-0.0032609861269229)
(0.0496286638066702,-0.0034666787682092)
(0.0496206106191700,-0.0036795318060383)
(0.0496117771382937,-0.0038996477258414)
(0.0496021076913784,-0.0041271322006264)
(0.0495915436812032,-0.0043620940894953)
(0.0495800234550263,-0.0046046454321587)
(0.0495674821680518,-0.0048549014390476)
(0.0495538516412466,-0.0051129804766052)
(0.0495390602134469,-0.0053790040473292)
(0.0495230325877123,-0.0056530967641239)
(0.0495056896719066,-0.0059353863185070)
(0.0494869484135148,-0.0062260034422111)
(0.0494667216287297,-0.0065250818617131)
(0.0494449178258793,-0.0068327582452183)
(0.0494214410233039,-0.0071491721416295)
(0.0493961905618309,-0.0074744659110312)
(0.0493690609120486,-0.0078087846462277)
(0.0493399414766239,-0.0081522760848813)
(0.0493087163879753,-0.0085050905118150)
(0.0492752643016659,-0.0088673806510582)
(0.0492394581859558,-0.0092393015472405)
(0.0492011651080196,-0.0096210104359635)
(0.0491602460174157,-0.0100126666028104)
(0.0491165555274742,-0.0104144312306903)
(0.0490699416953551,-0.0108264672352492)
(0.0490202458016192,-0.0112489390881202)
(0.0489673021302430,-0.0116820126278264)
(0.0489109377501065,-0.0121258548581920)
(0.0488509722990704,-0.0125806337341570)
(0.0487872177718580,-0.0130465179349285)
(0.0487194783130439,-0.0135236766244349)
(0.0486475500165384,-0.0140122791990747)
