(0.056187754847529733,-1.7307895320830174e-06)
(0.056187754527501708,-9.1203604085888195e-06)
(0.056187752853586091,-2.2418574805299683e-05)
(0.056187747941039048,-4.1634915642089339e-05)
(0.05618773706130966,-6.6779183257105961e-05)
(0.056187716635345011,-9.7863816960473454e-05)
(0.056187682224795039,-0.00013490412071113175)
(0.056187628521100132,-0.00017791831354131138)
(0.056187549332431037,-0.0002269275520422504)
(0.056187437568447456,-0.00028195594748584881)
(0.056187285222835795,-0.00034303058256751401)
(0.056187083353571025,-0.00041018152915322452)
(0.056186822060857476,-0.0004834418674716121)
(0.05618649046268237,-0.00056284770689736204)
(0.056186076667920255,-0.00064843820836490713)
(0.056185567746910463,-0.00074025560840682556)
(0.056184949699431087,-0.0008383452447887805)
(0.056184207419979731,-0.00094275558370007881)
(0.056183324660271816,-0.0010535382484486188)
(0.056182283988847614,-0.0011707480496011564)
(0.056181066747683306,-0.0012944430165011884)
(0.056179653005689799,-0.0014246844300892225)
(0.056178021508968785,-0.0015615368569405557)
(0.056176149627699359,-0.0017050681844277325)
(0.056174013299504937,-0.0018553496569036307)
(0.056171586969157271,-0.0020124559127914707)
(0.05616884352444932,-0.0021764650224553946)
(0.056165754228073107,-0.0023474585267142904)
(0.056162288645321287,-0.0025255214758462975)
(0.056158414567418991,-0.0027107424689186118)
(0.056154097930295424,-0.0029032136932601502)
(0.056149302728574886,-0.00310303096387923)
(0.056143990924575185,-0.0033102937626096444)
(0.056138122352081071,-0.0035251052767494573)
(0.056131654614646344,-0.0037475724369361854)
(0.056124542978183159,-0.0039778059539810305)
(0.056116740257565759,-0.004215920354360002)
(0.056108196696986648,-0.0044620340140358343)
(0.056098859843774912,-0.0047162691902586538)
(0.056088674415390248,-0.0049787520509642254)
(0.056077582159295633,-0.0052496127013595831)
(0.056065521705392592,-0.0055289852072553094)
(0.056052428410710911,-0.0058170076146693787)
(0.056038234196037075,-0.006113821965193421)
(0.056022867374144081,-0.0064195743065759217)
(0.056006252469309306,-0.0067344146979381996)
(0.055988310027792539,-0.0070584972089974135)
(0.055968956418942138,-0.0073919799126313359)
(0.055948103626628519,-0.0077350248700719122)
